slug,occupation,isco,lse_2024_group_code,lse_2024_group_label,lse_2024_monthly_median,lse_2024_annual_benchmark,pay_previous,source_pay_previous,pay_dashboard,pay_refresh_method,pay_mapping_level,pay_mapping_confidence,jobs_2023_base,source_jobs_previous,jobs_dashboard_2024_calibrated,jobs_refresh_factor,jobs_refresh_method,source_pay,source_jobs
zollbeamter,Zollbeamte/r,3351,33,33 Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,7900,103000,80000,EFV Bundesbesoldung,103000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,4800,Eidg. Zollverwaltung 2023,4800,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 33,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
detailhandelsfachmann,Detailhandelsfachmann/-frau,5221,52,52 Verkaufskräfte,4970,65000,58000,BFS LSE 2022,65000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,220000,BFS SAKE 2023,221300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 52,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
einkaeufer-in,Einkäufer/-in,3323,33,33 Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,7900,103000,95000,BFS LSE 2022,103000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 33,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
filialleiter,Filialleiter/-in (Detailhandel),1420,14,"14 Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen",6723,87000,72000,BFS LSE 2022,87000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,35000,BFS SAKE 2023,35200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 14,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
key-account-manager,Key Account Manager/-in,2433,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,112000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
lastwagenfahrer,Lastwagenfahrer/-in,8332,83,83 Fahrzeugführer und Bediener mobiler Anlagen,5951,77000,62000,BFS LSE 2022 / GAV Transport,62000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,85000,BFS SAKE 2023,85500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (GAV Transport); LSE 2024 CH-ISCO 83 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
zugfuehrer-sbb,Zugführer/-in (SBB),8311,83,83 Fahrzeugführer und Bediener mobiler Anlagen,5951,77000,75000,SBB Gehaltstabelle,75000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,6500,SBB 2023,6500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (SBB Gehaltstabelle); LSE 2024 CH-ISCO 83 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
pilot-in,Pilot/-in,3153,31,31 Ingenieurtechnische und vergleichbare Fachkräfte,7507,98000,185000,Branchendaten Swiss/Edelweiss,185000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,3800,Bazl/SAKE 2023,3800,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Branchendaten Swiss/Edelweiss); LSE 2024 CH-ISCO 31 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
logistiker-in,Logistiker/-in,4321,43,"43 Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft",6035,78000,68000,BFS LSE 2022,78000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 43,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
lagerfachmann,Lagerfachmann/-frau,9333,93,"93 Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen",5541,72000,58000,BFS LSE 2022,72000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,42000,BFS SAKE 2023,42200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 93,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
koch-koechin,Koch / Köchin,3434,34,"34 Juristische, soziale, kulturelle und verwandte Fachkräfte",7078,92000,62000,BFS LSE 2022 / L-GAV,62000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,58000,BFS SAKE 2023,58300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (L-GAV); LSE 2024 CH-ISCO 34 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
restaurantfachmann,Restaurantfachmann/-frau,5131,51,51 Berufe im Bereich personenbezogener Dienstleistungen,4927,64000,55000,BFS LSE 2022 / L-GAV,55000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,45000,BFS SAKE 2023,45300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (L-GAV); LSE 2024 CH-ISCO 51 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
hotelfachmann,Hotelfachmann/-frau,1411,14,"14 Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen",6723,87000,60000,BFS LSE 2022 / L-GAV,60000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,35000,BFS SAKE 2023,35200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (L-GAV); LSE 2024 CH-ISCO 14 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
reisebuero,Reisebuero,4221,42,42 Bürokräfte mit Kundenkontakt,5965,78000,58000,BFS LSE 2022,78000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,8000,BFS SAKE 2023,8000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 42,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
landwirt-in,Landwirt/-in,6111,61,61 Fachkräfte in der Landwirtschaft,5622,73000,55000,BFS LSE 2022 / SBV,55000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,145000,BFS SAKE 2023,145800,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (SBV); LSE 2024 CH-ISCO 61 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
forstwart-in,Forstwart/-in,6210,62,"62 Fachkräfte in Forstwirtschaft, Fischerei und Jagd - Marktproduktion",6109,79000,66000,BFS LSE 2022,79000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,9000,BFS SAKE 2023,9100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 62,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
winzer-in,Winzer/-in,6112,61,61 Fachkräfte in der Landwirtschaft,5622,73000,58000,BFS LSE 2022,73000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,4200,BFS SAKE 2023,4200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 61,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
gaertner-in,Gärtner/-in,6113,61,61 Fachkräfte in der Landwirtschaft,5622,73000,60000,BFS LSE 2022,73000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 61,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
tierarzt,Tierarzt / Tierärztin,2250,22,22 Spezialisten in Gesundheitsberufen,8000,104000,95000,BFS LSE 2022,104000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,5500,BFS SAKE 2023,5500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 22,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
grafiker-in,Grafiker/-in,2166,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,72000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
journalist-in,Journalist/-in,2642,26,"26 Juristen, Sozialwissenschaftler und Kulturberufe",9122,119000,78000,BFS LSE 2022,119000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 26,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
pr-fachmann,PR-Fachmann/-frau,2432,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,88000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,9000,BFS SAKE 2023,9100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
fotograf-in,Fotograf/-in,3431,34,"34 Juristische, soziale, kulturelle und verwandte Fachkräfte",7078,92000,65000,BFS LSE 2022,92000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,6000,BFS SAKE 2023,6000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 34,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
cutter-in,Cutter/-in (Video/Film),3521,35,35 Informations- und Kommunikationstechniker,7859,102000,72000,BFS LSE 2022,102000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,4500,BFS SAKE 2023,4500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 35,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
maschinenbauingenieur,Maschinenbauingenieur/-in,2144,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,112000,BFS LSE 2022 / Swissem,112000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Swissem); LSE 2024 CH-ISCO 21 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
elektroingenieur,Elektroingenieur/-in,2151,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,115000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
bauingenieur-in,Bauingenieur/-in,2142,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,105000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,20000,BFS SAKE 2023,20100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
chemieingenieur,Chemieingenieur/-in,2145,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,118000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
umweltingenieur,Umweltingenieur/-in,2143,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,100000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,9000,BFS SAKE 2023,9100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
sozialarbeiter-in,Sozialarbeiter/-in,2635,26,"26 Juristen, Sozialwissenschaftler und Kulturberufe",9122,119000,75000,BFS LSE 2022,119000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 26,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
psychologe-in,Psychologe/-in,2634,26,"26 Juristen, Sozialwissenschaftler und Kulturberufe",9122,119000,95000,BFS LSE 2022,119000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 26,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
kinderbetreuung,Kinderbetreuung (Krippe/Hort),5311,53,53 Betreuungsberufe,5629,73000,62000,BFS LSE 2022,73000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,42000,BFS SAKE 2023,42200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 53,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
heilpaedagoge,Schulischer Heilpädagoge/-in,2352,23,23 Lehrkräfte,9697,126000,88000,Kantone (BFS 2022),88000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Kantone); LSE 2024 CH-ISCO 23 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
polizist-in,Polizist/-in,5412,54,54 Schutzkräfte und Sicherheitsbedienstete,6528,85000,85000,Kantonspolizeien 2023,85000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Kantonspolizeien 2023); LSE 2024 CH-ISCO 54 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
feuerwehrmann,Feuerwehrmann/-frau,5411,54,54 Schutzkräfte und Sicherheitsbedienstete,6528,85000,75000,Berufsfeuerwehren CH 2023,75000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,7500,BFS SAKE 2023,7500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Berufsfeuerwehren CH 2023); LSE 2024 CH-ISCO 54 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
sicherheitsbeauftragter,Sicherheitsbeauftragte/r,5414,54,54 Schutzkräfte und Sicherheitsbedienstete,6528,85000,68000,BFS LSE 2022,85000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 54,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
