title,slug,category,pay,jobs,education,exposure,beta,isco,exposure_rationale,url,mapping_note,mapping_confidence,v4_gap_addition,v4_gap_source,source_pay,source_jobs,pay_previous,jobs_2023_base,source_pay_previous,source_jobs_previous
Marketingfachmann/-frau,marketingfachmann-frau,marketing-sales,98000,45000,Eidg. Fachausweis / eidg. Diplom Marketing,8,0.845,2431,"Sehr hohe LLM-Exposition: Kampagnenkonzepte, Zielgruppenanalysen, Copy, Marktberichte, Newsletter, Briefings und Performance-Reports sind stark text- und datenbasiert. Markenurteil, Priorisierung, Budgetverantwortung und Abstimmung mit Stakeholdern bleiben menschlich.",https://www.berufsberatung.ch/dyn/show/1900?id=3091,"V4-Ergaenzung aus Lueckenanalyse. ISCO 2431 Marketing and advertising professionals; Schweizer Label ueber eidg. FA/Diplom plausibilisiert.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",98000,45000,V4 Gap-Addendum,V4 Gap-Addendum
Übersetzer/-in & Dolmetscher/-in,uebersetzer-dolmetscher,kunst-medien,119000,12000,Bachelor/Master Übersetzen / Dolmetschen,8,0.758,2643,"Sehr hohe LLM-Exposition: Übersetzung, Revision, Terminologiearbeit, Zusammenfassung und mehrsprachige Varianten gehören zu den direkt erreichbaren Sprachaufgaben. Live-Dolmetschen, Fachhaftung, Kulturkontext und rechtlich/medizinisch sensible Einsätze begrenzen die Exposition.",https://www.berufsberatung.ch/dyn/show/1900?id=2686,"V4-Ergaenzung aus Lueckenanalyse. ISCO 2643 Translators, interpreters and other linguists; in der mehrsprachigen Schweiz methodisch wichtige Luecke.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",119000,12000,V4 Gap-Addendum,V4 Gap-Addendum
Unternehmensberater/-in / Management Consultant,unternehmensberater-management-consultant,marketing-sales,124000,25000,Bachelor/Master BWL / Consulting,7,0.68,2421,"Hohe LLM-Exposition: Recherche, Benchmarks, Interview-Synthesen, Slides, Memos und Massnahmenpläne sind stark dokumenten- und textbasiert. Kundendynamik, politische Machbarkeit, Umsetzung und Verantwortung bleiben begrenzend.",https://www.berufsberatung.ch/dyn/show/1900?id=3226,"V4-Ergaenzung aus Lueckenanalyse. ISCO 2421 Management and organization analysts; Schweizer Consulting-Tätigkeiten koennen je nach Senioritaet stark variieren.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",124000,25000,V4 Gap-Addendum,V4 Gap-Addendum
Controller/-in,controller-in,finanzen-recht,124000,35000,Bachelor BWL / Controlling,6,0.6,2421,"Hohe mittlere LLM-Exposition: Budgetkommentare, Abweichungsanalysen, Forecast-Narrative, Management-Reports und Ad-hoc-Auswertungen sind gut unterstützbar. Datenqualität, Steuerungsentscheide und betrieblicher Kontext begrenzen.",https://www.berufsberatung.ch/dyn/show/1900?id=8100,"V4-Ergaenzung aus Lueckenanalyse. Separat von Buchhaltung, da Steuerungs-, Planungs- und Reportingaufgaben anders gewichtet sind.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",124000,35000,V4 Gap-Addendum,V4 Gap-Addendum
Wirtschaftsprüfer/-in (Auditor),wirtschaftspruefer-auditor,finanzen-recht,124000,12000,Dipl. Wirtschaftsprüfer/-in,6,0.5683,2411,"Hohe mittlere LLM-Exposition: Prüfprogramme, Dossierzusammenfassungen, Stichprobenkommentare, Standardsrecherche und Berichtsentwürfe sind gut unterstützbar. Prüfungsurteil, Haftung, Unabhängigkeit und Regulierung begrenzen.",https://www.berufsberatung.ch/dyn/show/1900?id=8417,"V4-Ergaenzung aus Lueckenanalyse. Separat von Steuerberatung und Buchhaltung, da Testierung und regulatorische Verantwortung den Cap stärker begrenzen.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",124000,12000,V4 Gap-Addendum,V4 Gap-Addendum
Notar/-in,notar-in,finanzen-recht,119000,3500,Juristische Ausbildung / kantonale Zulassung,4,0.425,2611,"Moderate LLM-Exposition: Vertragsentwürfe, Urkundenvorbereitung, Recherche und Mandantenkorrespondenz können unterstützt werden. Beurkundungspflicht, Identitätsprüfung, kantonale Regulierung, Haftung und Vertrauensfunktion begrenzen stark.",https://www.berufsberatung.ch/dyn/show/1900?id=3307,V4-Ergaenzung aus Lueckenanalyse. Schweizer Notariat ist kantonal reguliert und nur grob ueber ISCO 2611 juristische Berufe abbildbar.,mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",119000,3500,V4 Gap-Addendum,V4 Gap-Addendum
Aussendienstmitarbeiter/-in B2B / Verkaufsberater/-in,aussendienst-b2b-verkaufsberater,marketing-sales,103000,45000,EFZ / FA Verkauf / Branchenwissen,5,0.48,3322,"Mittlere LLM-Exposition: CRM-Pflege, Angebotsentwürfe, Follow-ups, Besuchsvorbereitung, Einwandbehandlung und Marktinformationen sind gut unterstützbar. Feldbesuche, Beziehungsaufbau, Verhandlung und Produkteinsatz vor Ort bleiben menschlich.",https://www.berufsberatung.ch/dyn/show/1900?id=3127,V4-Ergaenzung aus Lueckenanalyse. Ergänzt Key Account Management um breitere B2B-Aussendienst- und Verkaufsberaterrollen.,mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",103000,45000,V4 Gap-Addendum,V4 Gap-Addendum
Architekt/-in,architekt-in,ingenieurwesen,113000,22000,Bachelor/Master Architektur,5,0.45,2161,"Mittlere LLM-Exposition: Wettbewerbsbriefings, Baubeschriebe, Normenrecherche, Variantenkommunikation, Visualisierungsbriefings und Einreichungsunterlagen können unterstützt werden. Entwurf, Bauherrenarbeit, Verantwortung, Bewilligung und Baustellenkontext begrenzen.",https://www.berufsberatung.ch/dyn/show/1900?id=3936,"V4-Ergaenzung aus Lueckenanalyse. Sichtbarer Schweizer Beruf, bisher trotz Ingenieur- und Bauberufen nicht separat abgebildet.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",113000,22000,V4 Gap-Addendum,V4 Gap-Addendum
Fachfrau/-mann Gesundheit (FaGe),fachfrau-mann-gesundheit-fage,gesundheit,73000,80000,EFZ Fachfrau/-mann Gesundheit,3,0.252,5321,"Niedrige bis moderate LLM-Exposition: Pflegedokumentation, Übergaben, Checklisten und Informationsmaterial können unterstützt werden. Körperpflege, Beobachtung, Patientenkontakt, Teamarbeit und Verantwortung am Bett bleiben zentral.",https://www.berufsberatung.ch/dyn/show/1900?id=3038,"V4-Ergaenzung aus Lueckenanalyse. Schweizer EFZ-Beruf mit grosser Beschäftigtenzahl; nicht identisch mit diplomierter Pflege.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",73000,80000,V4 Gap-Addendum,V4 Gap-Addendum
Medizinische Praxisassistent/-in (MPA),medizinische-praxisassistent-in-mpa,gesundheit,81000,50000,EFZ Medizinische/-r Praxisassistent/-in,6,0.55,3256,"Hohe mittlere LLM-Exposition: Terminierung, Telefonnotizen, Triage-Vorbereitung, Rechnungs- und Versicherungsfragen, Patienteninformationen und Dokumentation sind stark unterstützbar. Medizinische Verantwortung, Patientenkontakt und praktische Assistenz begrenzen.",https://www.berufsberatung.ch/dyn/show/1900?id=2897,"V4-Ergaenzung aus Lueckenanalyse. Schweizer Praxisrolle mit hohem administrativem Anteil; Score wegen Patientenkontakt und klinischen Grenzen gedeckelt.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",81000,50000,V4 Gap-Addendum,V4 Gap-Addendum
Polymechaniker/-in,polymechaniker-in,handwerk-bau,81000,45000,EFZ Polymechaniker/-in,2,0.18,7223,"Niedrige LLM-Exposition: Fertigung, Montage, CNC-Rüsten, Messen und Instandhaltung sind stark physisch und maschinenbezogen. LLMs helfen bei Dokumentation, Arbeitsanweisungen, Normensuche und Fehlerberichten.",https://www.berufsberatung.ch/dyn/show/1900?id=2948,"V4-Ergaenzung aus Lueckenanalyse. Schweizer Industrie- und Lehrberuf; LLM-Score bewusst niedrig, weil Robotik/CNC-Automation nicht Teil des LLM-Masses ist.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",81000,45000,V4 Gap-Addendum,V4 Gap-Addendum
Coiffeur/Coiffeuse,coiffeur-coiffeuse,personen-dienste,65000,25000,EFZ Coiffeur/-euse,2,0.15,5141,"Niedrige LLM-Exposition: Beratung, Termintexte, Social Media und Produktkommunikation können unterstützt werden. Haarschnitt, Färben, Stilgefühl am Menschen und persönlicher Service bleiben physisch und sozial.",https://www.berufsberatung.ch/dyn/show/1900?id=2863,V4-Ergaenzung aus Lueckenanalyse. Sichtbare personenbezogene Dienstleistung mit niedriger LLM-Exposition.,mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",65000,25000,V4 Gap-Addendum,V4 Gap-Addendum
Reinigungspersonal / Reinigungsfachfrau,reinigungspersonal-reinigungsfachfrau,personen-dienste,57000,120000,EBA/EFZ Reinigung / Praxis,1,0.05,9112,"Sehr niedrige LLM-Exposition: Die Kerntätigkeit ist körperliche Arbeit vor Ort. LLMs können Checklisten, Einsatzplanung, Rapportierung oder Kundenkommunikation unterstützen, verändern aber den Hauptanteil der Arbeit kaum.",https://www.berufsberatung.ch/dyn/show/1900?id=3046,"V4-Ergaenzung aus Lueckenanalyse. Grosse Beschäftigtengruppe mit niedriger LLM-Exposition; wichtig fuer Arbeitsmarktgewichtung.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",57000,120000,V4 Gap-Addendum,V4 Gap-Addendum
Hebamme,hebamme,gesundheit,106000,4500,Bachelor Hebamme,3,0.257,2222,"Niedrige bis moderate LLM-Exposition: Dokumentation, Aufklärungsmaterial, Literatur und administrative Kommunikation können unterstützt werden. Geburtshilfe, klinische Verantwortung, Notfallsituationen, Körperarbeit und Beziehung begrenzen stark.",https://www.berufsberatung.ch/dyn/show/1900?id=3024,"V4-Ergaenzung aus Lueckenanalyse. Separat von Pflege, da Aufgabenprofil und Verantwortung eigenständig sind.",mittel,true,"Lueckenanalyse.rtf, v4","V4 Gap-Addendum; BFS LSE 2024 wird per Refresh gemappt","V4 Gap-Addendum; SAKE-2023-Startwert wird mit SAKE-2024-Gesamtwachstum kalibriert",106000,4500,V4 Gap-Addendum,V4 Gap-Addendum
